id,name,fix_type,before,after
off_65f54db49f,Cuscús de maíz,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_dd27aaeeca,Espelta Penne Rigate,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_c26bba9886,Pan de molde 35% avena,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_3ba10eb8c6,Fideos,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_a8a16e8780,Cuscús,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_b02a64749f,3 min PENNE RIGATE COCCIÓN RÁPIDA,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_d8c05e4bf2,Macarrones,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_bdb6781684,Fusilli tricolor,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_40bdc91eb5,Couscous Con especias,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_3cb362cddc,Fusilli,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_b99f2348aa,Penne Rigate,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_1ea11d67d3,Fideos cabellin,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_18d76f4bfa,CUSCÚS Grano mediano,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_968655590c,Couscous,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_e0d31a613b,Fideos soba,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_3170be03c8,Cuscús fino,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_461f725be4,Sémola de trigo duro para migas,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_69292078fc,Espagueti,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_8e43e9ba28,Tallarines,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_97c749d3f8,Macarrón,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_83c3ddca7e,Penne rigate semi-complets,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_65c9bfe458,Macarrones tricolor,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_586ac9542b,Macarrón Fino,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_5f1ac5b4bf,Triángulos de trigo sarraceno,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_24bb61f200,Pan Pão de trigo,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_3fabc39d7c,Bio espelta fusilli,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_d26b91398e,Macarrones Penne Rigate N.73,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_2148d628a0,Macarrón Rayado,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_bb68353287,Pan rústico,pan_desayuno,"{""meal_slot"": ""any""}","{""meal_slot"": ""desayuno""}"
off_240702fb23,3 min FUSILLI COCCIÓN RÁPIDA,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_317648409f,Espaguetis,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_4222ae60ea,3 fromages Special pasta,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_c160d4bf26,Lenteja pelada,legume_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_9aa268bb89,Lentejas verdinas,legume_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
off_53ff645758,Copos de avena integral,grain_raw,"{""raw_ingredient"": false}","{""raw_ingredient"": true}"
